지방우정청,총괄국명,우체국명, 주소(지번) , 주소(도로명) , 전화번호 
서울지방우정청,광화문우체국,서울창신2동우편취급국,서울특별시 종로구 창신동 703 쌍용2단지상가 202,서울특별시 종로구 낙산길 196,02)742-0148
서울지방우정청,광화문우체국,서울홍파동우편취급국,서울특별시 종로구 무악동 63-9,서울특별시 종로구 통일로 266,02)738-7107
서울지방우정청,광화문우체국,서울종로6가우편취급국,서울특별시 종로구 종로6가 189,서울특별시 종로구 종로41길 36,02)766-0079
서울지방우정청,광화문우체국,서울관훈동우편취급국,서울특별시 종로구 수송동 58 두산위브파비리온 1층,서울특별시 종로구 삼봉로 81,02)737-0100
서울지방우정청,광화문우체국,서울창신1동우편취급국,서울특별시 종로구 창신1동 330-1 지하6호,서울특별시 종로구 종로 328,02)745-0015
서울지방우정청,광화문우체국,성균관대학교우편취급국,서울특별시 종로구 명륜3가 53-21,서울특별시 종로구 성균관로 25-2 600주년 기념관,02-740-1900
서울지방우정청,광화문우체국,상명대학교우편취급국,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20  사범대학관 지하 1층,02-2287-5272
서울지방우정청,광화문우체국,한국방송통신대학교우편취급국,서울특별시 종로구 동숭동 1-138,서울특별시 종로구 대학로12길 86 (동숭동),02-743-0150
서울지방우정청,서대문우체국,서대문우체국,서울특별시 서대문구 창천동 98-3,서울특별시 서대문구 성산로20길9 ,02)390-9114
서울지방우정청,서대문우체국,서울충정로우체국,서울특별시 서대문구 충정로2가 8-2,서울특별시 서대문구 통일로127 ,02)362-0004
서울지방우정청,서대문우체국,서울신촌우체국,서울특별시 서대문구 대현동 90-101,서울특별시 서대문구 신촌로161,02)362-0205
서울지방우정청,서대문우체국,서울홍제동우체국,서울특별시 서대문구 홍제동 158-45,서울특별시 서대문구 통일로419,02)379-4205
서울지방우정청,서대문우체국,서울모래내우체국,서울특별시 서대문구 북가좌동 424-29,서울특별시 서대문구 거북골로160,02)373-2005
서울지방우정청,서대문우체국,서울연희동우체국,서울특별시 서대문구 연희동 90-15 ,서울특별시 서대문구 증가로12,02)324-2005
서울지방우정청,서대문우체국,서울연세대학교우체국,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로50 ,02)392-0205
서울지방우정청,서대문우체국,서울이화여자대학교우체국,서울특별시 서대문구 대현동 11-1,서울특별시 서대문구 이화여대길 52,02)363-0205
서울지방우정청,서대문우체국,경찰청우편취급국,서울특별시 서대문구 미근동 209,서울특별시 서대문구 통일로 97 ,02-365-2001
서울지방우정청,서대문우체국,서울미근동우편취급국,서울특별시 서대문구 충현동 464,서울특별시 서대문구 서소문로 21,02)365-0315
서울지방우정청,서대문우체국,서울독립문우편취급국,서울특별시 서대문구 현저동 200  극동상가 127호 ,서울특별시 서대문구독립문공원길13 극동상가 127호,02)312-0225
서울지방우정청,서대문우체국,서울홍제3동우편취급국,서울특별시 서대문구 홍제동 278-100,서울특별시 서대문구 간호대로 11-24,02)391-8910
서울지방우정청,서대문우체국,서울홍은2동우편취급국,서울특별시 서대문구 홍은동 275-24,서울특별시 서대문구 연희로 261-28,02)395-1500
서울지방우정청,서대문우체국,서울홍은미성우편취급국,서울특별시 서대문구 홍은동 204-13,서울특별시 서대문구 연희로 41길 37,02)3216-6161
서울지방우정청,서대문우체국,서울남가좌1동우편취급국,서울특별시 서대문구 남가좌동 105-1,서울특별시 서대문구 모래내로 143,02)303-7500
서울지방우정청,서대문우체국,명지대학교우편취급국,서울특별시 서대문구 남가좌동 50-3,서울특별시 서대문구 거북골로 34 ,02-300-0950
서울지방우정청,동대문우체국,동대문우체국,서울특별시 동대문구 신설동 117-23,서울특별시 동대문구 천호대로 4,02)2210-3703
서울지방우정청,동대문우체국,서울청량리우체국,서울특별시 동대문구 청량리1동 286-1,서울특별시 동대문구 홍릉길 10,02)962-0014
서울지방우정청,동대문우체국,서울전농동우체국,서울특별시 동대문구 전농4동 295-134,서울특별시 동대문구 전농로 131,02)2245-0205
서울지방우정청,동대문우체국,서울휘경동우체국,서울특별시 동대문구 휘경동 191-19,서울특별시 동대문구 회기로 201,02)965-2336
서울지방우정청,동대문우체국,서울장안동우체국,서울특별시 동대문구 장안동 398-8,서울특별시 동대문구 한천로14길 53,02)2244-2005
서울지방우정청,동대문우체국,서울이문동우체국,서울특별시 동대문구 이문동 291-31,서울특별시 동대문구 이문로 133,02)965-2005
서울지방우정청,동대문우체국,서울답십리우체국,서울특별시 동대문구 답십리동 465-5,서울특별시 동대문구 사가정로 7,02)2247-2005
서울지방우정청,동대문우체국,서울장안2동우체국,서울특별시 동대문구 장안동 301-1,서울특별시 동대문구 사가정로 240,02)2247-5018
서울지방우정청,동대문우체국,서울제기동우체국,서울특별시 동대문구 제기동 900-1,서울특별시 동대문구 고산자로 476,02)968-2006
서울지방우정청,동대문우체국,서울제기2동우편취급국,서울특별시 동대문구 제기동 1151-9,서울특별시 동대문구 안암로 86,02)923-0205
서울지방우정청,동대문우체국,서울용두1동우편취급국,서울특별시 동대문구 용두동 790,서울특별시 동대문구 정릉천동로 58 롯데캐슬피렌체 상가 113호,02)962-2105
서울지방우정청,동대문우체국,서울시립대학교우편취급국,서울특별시 동대문구 전농동 694,서울특별시 동대문구 서울시립대로 163 학생회관 ,02-6490-2960
서울지방우정청,동대문우체국,경희대학교우편취급국,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 26 경희대학교,02-957-5100
서울지방우정청,동대문우체국,한국외국어대학교우편취급국,서울특별시 동대문구 이문동 270-1,서울특별시 동대문구 이문로 107 한국외국어대학교 인문과학관,02-960-1311
서울지방우정청,서울광진우체국,서울광진우체국,서울특별시 광진구 구의3동 587,서울특별시 광진구 강변역로 2 (구의동),02)2049-0550
서울지방우정청,서울광진우체국,서울성동우체국,서울특별시 성동구 행당1동 284,서울특별시 성동구 왕십리로 303 (행당동),02)2292-0014
서울지방우정청,서울광진우체국,서울뚝섬우체국,서울특별시 성동구 성수1가1동 33-29,서울특별시 성동구 뚝섬로3길 14 (성수동1가),02)464-2005
서울지방우정청,서울광진우체국,서울금호동우체국,서울특별시 성동구 금호동2가 223,서울특별시 성동구 금호로11길 2 (금호동2가),02)2235-2005
서울지방우정청,서울광진우체국,서울화양동우체국,서울특별시 광진구 화양동 18-10,서울특별시 광진구 광나루로 356 (화양동),02)463-2005
서울지방우정청,서울광진우체국,서울중곡동우체국,서울특별시 광진구 중곡2동 43-5,서울특별시 광진구 긴고랑로 68 (중곡동),02)444-2005
서울지방우정청,서울광진우체국,서울용답동우체국,서울특별시 성동구 용답동 228-5,서울특별시 성동구 천호대로 378 (용답동),02)2212-2466
서울지방우정청,서울광진우체국,서울왕십리우체국,서울특별시 성동구 홍익동 356,서울특별시 성동구 마장로 194 (홍익동),02)2295-2060
서울지방우정청,서울광진우체국,서울자양동우체국,서울특별시 광진구 자양2동 636-7,서울특별시 광진구 뚝섬로 640 (자양동),02)455-2050
서울지방우정청,서울광진우체국,서울마장동우체국,서울특별시 성동구 마장동 523-3,서울특별시 성동구 고산자로 352 (마장동),02)2299-2005
서울지방우정청,서울광진우체국,서울한양대학교우체국,서울특별시 성동구 사근동 110,서울특별시 성동구 왕십리로 222 (사근동),02)2292-0205
서울지방우정청,서울광진우체국,서울건국대학교우체국,서울특별시 광진구 화양동 1,서울특별시 광진구 능동로 120 (화양동),02)452-3260
서울지방우정청,서울광진우체국,서울대림아파트우편취급국,서울특별시 성동구 응봉동 100 대림종합상가 203호,서울특별시 성동구 독서당로 434 (응봉동) ,02)2294-2005
서울지방우정청,서울광진우체국,서울옥수동우편취급국,서울특별시 성동구 옥수동 436,서울특별시 성동구 독서당로 173 (옥수동),02)2299-0851
서울지방우정청,서울광진우체국,서울성수아파트우편취급국,서울특별시 성동구 성수2가 289-4 ,서울특별시 성동구 아차산로7길 28 (성수동2가),02)462-5050
서울지방우정청,서울광진우체국,서울능동우편취급국,서울특별시 광진구 군자동 48-45,서울특별시 광진구 면목로 17-1 (군자동),02)498-0004
서울지방우정청,서울광진우체국,서울경안우편취급국,서울특별시 광진구 구의동 70-6,서울특별시 광진구 자양로 242 (구의동),02)446-4496
서울지방우정청,서울광진우체국,서울테크노마트우편취급국,서울특별시 광진구 구의동 546-4 ,서울특별시 광진구 광나루로56길 85 (구의동),02)3424-0404
서울지방우정청,서울광진우체국,서울광나루우편취급국,서울특별시 광진구 광장동 330-8 ,서울특별시 광진구 광장로 80 (광장동),02)454-0800
서울지방우정청,서울광진우체국,서울중곡3동우편취급국,서울특별시 광진구 중곡3동 607-10 ,서울특별시 광진구 용마산로 189 (중곡동),02)492-9800
서울지방우정청,서울광진우체국,서울성수노룬산우편취급국,서울특별시 광진구 자양동 6-15,서울특별시 광진구 아찬산로30길 25 (자양동),02)498-3440
서울지방우정청,서울광진우체국,서울장로회신학대학교우편취급국,서울특별시 광진구 광장동 353 ,서울특별시 광진구 광장로5길 25-1 (광장동),02)453-1216
서울지방우정청,서울광진우체국,세종대학교우편취급국,서울특별시 광진구 군자동 98,서울특별시 광진구 능동로 209 학생회관 1층,02)3408-3385
서울지방우정청,서울관악우체국,서울관악우체국,서울특별시 관악구 신림동 1412-2,서울특별시 관악구 남부순환로 1643,02)6911-0505
서울지방우정청,서울관악우체국,제22군사우편출장소,서울특별시 관악구 남현동 산100-14,서울특별시 관악구 과천대로 851 ,02)584-0013
서울지방우정청,서울관악우체국,서울봉천동우체국,서울특별시 관악구 성현동 7-270,서울특별시 관악구 관악로 249-1 ,02)878-2005
서울지방우정청,서울관악우체국,서울신림동우체국,서울특별시 관악구 대학동 244-20,서울특별시 관악구 대학5길 38,02)889-2005
서울지방우정청,서울관악우체국,서울난곡우체국,서울특별시 관악구 미성동 1476-53,서울특별시 관악구 난곡로 275,02)863-3415
서울지방우정청,서울관악우체국,서울대학교우체국,서울특별시 관악구 대학동 산56-1,서울특별시 관악구 관악로 1 ,02)889-0205
서울지방우정청,서울관악우체국,서울행운동우체국,서울특별시 관악구 행운동 1666-43,서울특별시 관악구 남부순환로 1841 ,02)871-2005
서울지방우정청,서울관악우체국,서울은천동우체국,서울특별시 관악구 은천동 935-3,서울특별시 관악구 봉천로27길 58 ,02)886-2005
서울지방우정청,서울관악우체국,서울신림동부우편취급국,서울특별시 관악구 신원동 1636-45,서울특별시 관악구 문성로31길 38 ,02)858-3743
서울지방우정청,서울관악우체국,서울관악신사동우편취급국,서울특별시 관악구 신사동 504-1,서울특별시 관악구 조원로 118,02)857-8778
서울지방우정청,서울관악우체국,서울낙성대우편취급국,서울특별시 관악구 봉천동 1631-16,서울특별시 관악구 낙성대역3길 17,02)839-0115
서울지방우정청,서울관악우체국,서울관악삼성동우편취급국,서울특별시 관악구 삼성동 307-6,서울특별시 관악구 호암로 526,02)883-0115
서울지방우정청,서울관악우체국,서울보라매우편취급국,서울특별시 관악구 보라매동 729-32,서울특별시 관악구 보라매로3길 29,02)835-0488
서울지방우정청,서울관악우체국,서울청룡동우편취급국,서울특별시 관악구 봉천동 1584-5,서울특별시 관악구 쑥고개로 88,02)888-0114
서울지방우정청,서울관악우체국,서울봉천역전우편취급국,서울특별시 관악구 청룡동 930-42,서울특별시 관악구 남부순환로 1722 ,02)871-0508
서울지방우정청,서울관악우체국,서울남현동우편취급국,서울특별시 관악구 남현동 1065-33,서울특별시 관악구 남부순환로272길 38 ,02)582-0990
서울지방우정청,서울마포우체국,서울마포우체국,서울특별시 마포구 도화동 572,서울특별시 마포구 마포대로 89,02)6901-7699
서울지방우정청,서울마포우체국,서울서교동우체국,서울특별시 마포구 서교동 394-43,서울특별시 마포구 양화로 62,02)332-0288
서울지방우정청,서울마포우체국,서울서부지방법원우체국,서울특별시 마포구 공덕동 105-1,서울특별시 마포구 마포대로 174,02)711-4220
서울지방우정청,서울마포우체국,서울창전동우체국,서울특별시 마포구 창전동 95-23,서울특별시 마포구 독막로 109,02)333-6118
서울지방우정청,서울마포우체국,서울성산동우체국,서울특별시 마포구 성산동 108-3,서울특별시 마포구 월드컵북로 112,02)333-6117
서울지방우정청,서울마포우체국,서울아현동우체국,서울특별시 마포구 아현동 330-3,서울특별시 마포구 신촌로 266,02)313-0205
서울지방우정청,서울마포우체국,서울성산2동우체국,서울특별시 마포구 성산동 452,서울특별시 마포구 월드컵북로 227,02)306-2006
서울지방우정청,서울마포우체국,서울상암디지털우체국,서울특별시 마포구 상암동 1685,서울특별시 마포구 상암산로 1길 75,02)303-1841
서울지방우정청,서울마포우체국,서울공덕2동우편취급국,서울특별시 마포구 공덕동 119-43,서울특별시 마포구 마포대로 14길 14-1,02)715-0411
서울지방우정청,서울마포우체국,서울도화동우편취급국,서울특별시 마포구 도화동 288-1,서울특별시 마포구 삼개로 24(도화동),02)713-6600
서울지방우정청,서울마포우체국,서울용강동우편취급국,서울특별시 마포구 용강동 115-23,서울특별시 마포구 토정로 277,02)703-1382
서울지방우정청,서울마포우체국,서울대흥동우편취급국,서울특별시 마포구 대흥동 198-1,서울특별시 마포구 백범로17길 3,02)716-2005
서울지방우정청,서울마포우체국,서울노고산우편취급국,서울특별시 마포구 노고산동 31-24,서울특별시 마포구 백범로 1길 18,02)706-9566
서울지방우정청,서울마포우체국,서울신수동우편취급국,서울특별시 마포구 신수동 371-22,서울특별시 마포구 신수로 46,02)718-3334
서울지방우정청,서울마포우체국,서울동교동우편취급국,서울특별시 마포구 동교동 179-28,서울특별시 마포구 신촌로4길 3,02)335-1205
서울지방우정청,서울마포우체국,서울성산유원우편취급국,서울특별시 마포구 성산동 137-4,서울특별시 마포구 월드컵북로 26길 17,02)303-3791
서울지방우정청,서울마포우체국,서울상암동우편취급국,서울특별시 마포구 상암동 115-1,서울특별시 마포구 월드컵북로 352,02)304-3984
서울지방우정청,서울마포우체국,서강대학교우편취급국,서울특별시 마포구 신수동 1-1,서울특별시 마포구 백범로 35 우정관1층,02-716-0098
서울지방우정청,서울마포우체국,서울망원동우편취급국,서울특별시 마포구 망원동 421-35 (망원빌딩) 1충,"서울특별시 마포구 망원로 49 (망원동, 망원빌딩)",02-385-4040
서울지방우정청,서울은평우체국,서울은평우체국,서울특별시 은평구 진관동 77,서울특별시 은평구 진관2로 29-8(진관동),02)350-3514
서울지방우정청,서울은평우체국,서울수색우체국,서울특별시 은평구 수색동 101-7,서울특별시 은평구 수색로 248 (수색동),02)302-0205
서울지방우정청,서울은평우체국,서울대조동우체국,서울특별시 은평구 대조동 84-113,서울특별시 은평구 통일로71길 20 (대조동),02)387-2005
서울지방우정청,서울은평우체국,서울응암동우체국,서울특별시 은평구 응암3동 576-37,서울특별시 은평구 응암로 214 (응암동),02)303-2005
서울지방우정청,서울은평우체국,서울응암1동우체국,서울특별시 은평구 응암1동 89-1,서울특별시 은평구 은평로9길 13(응암1동),02)385-0100
서울지방우정청,서울은평우체국,서울갈현동우체국,서울특별시 은평구 갈현2동 489-5,서울특별시 은평구 서오릉로 190 (갈현동),02)359-2005
서울지방우정청,서울은평우체국,서울연신내우체국,서울특별시 은평구 불광2동 123-1,서울특별시 은평구 연서로 306 (불광동),02)357-0205
서울지방우정청,서울은평우체국,서울역촌동우편취급국,서울특별시 은평구 역촌동 50-55,서울특별시 은평구 갈현로 94 (역촌동),02)354-1774
서울지방우정청,서울은평우체국,서울녹번동우편취급국,서울특별시 은평구 녹번동 5,서울특별시 은평구 통일로 684 (녹번동),02)385-0004
서울지방우정청,서울은평우체국,서울불광2동우편취급국,서울특별시 은평구 불광2동 312-70,서울특별시 은평구 통일로80길 15 (불광동),02)382-2205
서울지방우정청,서울은평우체국,서울갈현1동우편취급국,서울특별시 은평구 갈현1동 434-4,서울특별시 은평구 갈현로 277 (갈현동),02)358-2234
서울지방우정청,서울은평우체국,서울신사미성우편취급국,서울특별시 은평구 신사2동 358 ,서울특별시 은평구 은평터널로7길 2 (신사동),02)307-2957
서울지방우정청,여의도우체국,여의도우체국,서울특별시 영등포구 여의도동 35-1,서울특별시 영등포구 여의나루로 60,02)783-0014
서울지방우정청,여의도우체국,영등포우체국,서울특별시 영등포구 영등포동4가 425-2,서울특별시 영등포구 경인로 841,02)2678-0014
서울지방우정청,여의도우체국,서울여의도광장우체국,서울특별시 영등포구 여의도동 14-26 영산빌딩,서울특별시 영등포구 국회대로68길 7,02)780-0100
서울지방우정청,여의도우체국,국회구내우체국,서울특별시 영등포구 여의도동 1 국회,서울특별시 영등포구 의사당대로 1,02)783-2005
서울지방우정청,여의도우체국,서울양평동우체국,서울특별시 영등포구 양평동4가 153-31,서울특별시 영등포구 양평로 92,02)2676-2008
서울지방우정청,여의도우체국,서울신길동우체국,서울특별시 영등포구 신길동 638,서울특별시 영등포구 여의대방로 161,02)843-1005
서울지방우정청,여의도우체국,서울대림동우체국,서울특별시 영등포구 대림동 990-45,서울특별시 영등포구 대림로 85,02)843-0010
서울지방우정청,여의도우체국,서울신길5동우체국,서울특별시 영등포구 신길동 446-3,서울특별시 영등포구 신길로 65,02)848-0114
서울지방우정청,여의도우체국,서울당산동우체국,서울특별시 영등포구 당산동1가 309,서울특별시 영등포구 당산로 102,02)2675-0140
서울지방우정청,여의도우체국,서울문래동우체국,서울특별시 영등포구 문래동2가 14-56,서울특별시 영등포구 도림로 429,02)2676-0340
서울지방우정청,여의도우체국,한국방송공사우편취급국,서울특별시 영등포구 여의도동 18 한국방송공사,서울특별시 영등포구 여의공원로 13,
서울지방우정청,여의도우체국,한화생명빌딩우체국,서울특별시 영등포구 여의도동 60 63한화생명빌딩,서울특별시 영등포구 63로 50,02)784-2835
서울지방우정청,여의도우체국,서울여의대방로우편취급국,서울특별시 영등포구 여의도동 44-35 제일빌딩208-209호,서울특별시 영등포구 여의대방로 379 제일빌딩 208-209호,02)785-5651
서울지방우정청,여의도우체국,서울영등포3동우편취급국,서울특별시 영등포구 영등포동5가 49-1 현대프라자 1층,서울특별시 영등포구 양산로 214 현대프라자 1층,02)2635-0320
서울지방우정청,여의도우체국,서울당산2동우편취급국,서울특별시 영등포구 당산동4가 32-52,서울특별시 영등포구 당산로172-1,02)2675-0115
서울지방우정청,여의도우체국,서울영등포시범A우편취급국,서울특별시 영등포구 당산동 121-17 양용빌딩,서울특별시 영등포구 버드나루로19길 3,02)2634-0653
서울지방우정청,여의도우체국,서울신길2동우편취급국,서울특별시 영등포구 신길동 192-2,서울특별시 영등포구 도신로 195,02)845-5678
서울지방우정청,여의도우체국,서울신길3동우편취급국,서울특별시 영등포구 신길동 370-20,서울특별시 영등포구 가마산로51길 1,02)843-9512
서울지방우정청,여의도우체국,서울신길7동우편취급국,서울특별시 영등포구 신길동 1300 2층2호,서울특별시 영등포구 영등포로 422,02)847-3838
서울지방우정청,여의도우체국,서울대림1동우편취급국,서울특별시 영등포구 대림동 700-4,서울특별시 영등포구 대림로 146,02)844-2850
서울지방우정청,여의도우체국,서울문래현대A우편취급국,서울특별시 영등포구 문래동6가 45 ,서울특별시 영등포구 문래로4길 4,02)2672-0071
서울지방우정청,여의도우체국,서울양평1가우편취급국,서울특별시 영등포구 양평동1가 209-4,서울특별시 영등포구 선유서로26길 24,02)2672-1241
서울지방우정청,여의도우체국,서울전경련우편취급국,서울특별시 영등포구 여의도동 28-1 전국경제인연합회회관 지하1층,서울특별시 영등포구 여의대로 24 전국경제인연합회회관 지하1층,02)761-0345
서울지방우정청,서울강남우체국,서울강남우체국,서울특별시 강남구 개포동 14-4 ,서울특별시 강남구 개포로 619,02)2040-4021
서울지방우정청,서울강남우체국,서울논현동우체국,서울특별시 강남구 논현2동 208-5,서울특별시 강남구 학동로 212,02)541-0110
서울지방우정청,서울강남우체국,서울무역센터우체국,서울특별시 강남구 삼성1동 159번지 코엑스몰 지하1층,서울특별시 강남구 영동대로 511,02)551-0004
서울지방우정청,서울강남우체국,서울역삼동우체국,서울특별시 강남구 역삼동 809-16 남영빌딩 3층,서울특별시 강남구 강남대로 458 남영빌딩 3층,02)557-2054
서울지방우정청,서울강남우체국,서울역삼1동우체국,서울특별시 강남구 역삼1동 647-9번지 ,서울특별시 강남구 테헤란로 131,02)552-0159
서울지방우정청,서울강남우체국,서울상록회관우체국,서울특별시 강남구 역삼1동 701 공무원연금관리공단 1층,서울특별시 강남구 언주로 508,02)567-2974
서울지방우정청,서울강남우체국,서울개포1동우체국,서울특별시 강남구 개포1동 167-11,서울특별시 강남구 선릉로 36,02)575-0205
서울지방우정청,서울강남우체국,서울역삼2동우체국,서울특별시 강남구 역삼2동 732-24 삼우빌딩 1층,서울특별시 강남구 역삼로 239,02)555-0600
서울지방우정청,서울강남우체국,서울삼성동우체국,서울특별시 강남구 삼성동 112-22,서울특별시 강남구 선릉로 572,02)562-0208
서울지방우정청,서울강남우체국,서울은마아파트우체국,서울특별시 강남구 대치2동 316,서울특별시 강남구 삼성로 212,02)566-0400
서울지방우정청,서울강남우체국,서울현대아파트우체국,서울특별시 강남구 압구정동 369,서울특별시 강남구 논현로190길 75,02)544-0002
서울지방우정청,서울강남우체국,서울일원동우체국,서울특별시 강남구 일원동 712-1,서울특별시 강남구 양재대로55길 20,02)459-2500
서울지방우정청,서울강남우체국,서울일원본동우체국,서울특별시 강남구 일원본동 735-4,서울특별시 강남구 광평로20길 8,02)2226-0004
서울지방우정청,서울강남우체국,서울수서동우체국,서울특별시 강남구 수서동 718-3,서울특별시 강남구 광평로 303,02)451-0009
서울지방우정청,서울강남우체국,서울영동시장우편취급국,"서울특별시 강남구 논현동 141-17, 2층","서울특별시 강남구 학동로4길 8, 2층",02)549-3810
서울지방우정청,서울강남우체국,서울논현거평우편취급국,서울특별시 강남구 논현1동 203-1 지하1층,서울특별시 강남구 봉은사로 129 지하1층,02)545-4707
서울지방우정청,서울강남우체국,서울논현2동우편취급국,서울특별시 강남구 논현동 96-5,서울특별시 강남구 언주로 148길 31-1,02)549-4415
서울지방우정청,서울강남우체국,서울역삼한라우편취급국,서울특별시 강남구 역삼동 667-4,"서울특별시 강남구 봉은사로 30길 42, 1층",02)563-0588
서울지방우정청,서울강남우체국,서울역삼성보우편취급국,서울특별시 강남구 역삼동 696-40 삼능빌딩 2층,서울특별시 강남구 선릉로 519 삼능빌딩 2층,02)568-0205
서울지방우정청,서울강남우체국,서울역삼우성우편취급국,서울특별시 강남구 역삼동 826-37,서울특별시 강남구 테헤란로4길 46,02)565-0113
서울지방우정청,서울강남우체국,서울삼성1동우편취급국,서울특별시 강남구 삼성동 166-8 새서울상가 203호,서울특별시 강남구 영동대로96길 37 203호,02)552-2006
서울지방우정청,서울강남우체국,서울삼성2동우편취급국,서울특별시 강남구 삼성2동 120-1,서울특별시 강남구 삼성로107길 5,02)567-3800
서울지방우정청,서울강남우체국,서울AID우편취급국,서울특별시 강남구 삼성2동 21,서울특별시 강남구 삼성로 635,02)548-0238
서울지방우정청,서울강남우체국,서울해청아파트우편취급국,서울특별시 강남구 삼성동 9-21,서울특별시 강남구 선릉로 646,02)547-0203
서울지방우정청,서울강남우체국,서울청담우편취급국,서울특별시 강남구 청담동 134-20 삼익상가 3층,서울특별시 강남구 학동로101길 26 삼익상가 3층,02)546-2005
서울지방우정청,서울강남우체국,서울청담청하우편취급국,서울특별시 강남구 청담동 120-3 대신빌딩 207호,서울특별시 강남구 도산대로 507 대신빌딩 207호,02)542-4668
서울지방우정청,서울강남우체국,서울미성우편취급국,서울특별시 강남구 신사동 549-1 타워상가 110호,서울특별시 강남구 압구정로 134 타워상가 10호,02)549-0205
서울지방우정청,서울강남우체국,서울압구정우편취급국,서울특별시 강남구 신사동 660-7 동도상가 2층,서울특별시 강남구 압구정로 332 동도상가 2층,02)548-0707
서울지방우정청,서울강남우체국,서울신사현대우편취급국,서울특별시 강남구 신사동 502-12 영일빌딩 206호,서울특별시 강남구 강남대로 620 영일빌딩 206호,02)542-0092
서울지방우정청,서울강남우체국,서울개포현대우편취급국,서울특별시 강남구 개포4동 1247-4,서울특별시 강남구 개포로17길 6,02)575-8340
