번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),점포구분명
14,대규모점포,08_25_01_P,3070000,2.02231E+18,20220418,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,186.6,,서울특별시 성북구 길음동 508-16,"서울특별시 성북구 숭인로8길 80, 롯데캐슬클라시아 상가 101~104호 (길음동)",2730,GS THE FRESH 성북클라시아점,2.02204E+13,I,22:33.0,구분없음,202328.5425,456302.2964,준대규모점포
15,대규모점포,08_25_01_P,3540000,2.02235E+18,20220415,,1,영업/정상,5,영업개시전,,,,,02-2006-2364,210.06,,인천광역시 부평구 십정동 289-8,"인천광역시 부평구 열우물로 90, 더샵부평센트럴시티 B동 1층 101~104호 (십정동)",21443,GS THE FRESH 부평열우물점,2.02204E+13,I,22:33.0,대형마트,173203.2441,441511.6782,준대규모점포
16,대규모점포,08_25_01_P,3540000,2.02235E+18,20220415,,1,영업/정상,5,영업개시전,,,,,02-2006-2364,338.98,,인천광역시 부평구 십정동 289-8,"인천광역시 부평구 열우물로 90, 더샵부평센트럴시티 E동 1층 101호 (십정동)",21443,GS THE FRESH 부평더샵점,2.02204E+13,I,22:33.0,대형마트,173203.2441,441511.6782,준대규모점포
17,대규모점포,08_25_01_P,3260000,1.99833E+18,19980508,,1,영업/정상,5,영업개시전,,20070806,20151231,,051 2481673,0,,부산광역시 서구 토성동1가 25번지 1호,,,토성상가,2.02004E+13,U,40:00.0,시장,384479.1625,179674.8329,준대규모점포
18,대규모점포,08_25_01_P,4180000,2.01942E+18,20190820,,1,영업/정상,5,영업개시전,,,,,033258-8121,282,,강원도 춘천시 중앙로3가 61번지 농협중앙회강원지역본부,"강원도 춘천시 중앙로 105, 농협중앙회강원지역본부 (중앙로3가)",24358,하나로마트 강원지역본부점,2.02004E+13,U,40:00.0,구분없음,263591.9018,486256.9848,준대규모점포
19,대규모점포,08_25_01_P,4180000,2.01942E+18,20190820,,1,영업/정상,5,영업개시전,,,,,033)258-8114,212,,강원도 춘천시 중앙로3가 61번지 농협중앙회강원지역본부,"강원도 춘천시 중앙로 105, 농협중앙회강원지역본부 (중앙로3가)",24358,하나로마트 강원지역본부점,2.01908E+13,I,22:07.0,구분없음,263591.9018,486256.9848,준대규모점포
20,대규모점포,08_25_01_P,3530000,2.01935E+18,20191010,,1,영업/정상,5,영업개시전,,,,,23809461,510,,인천광역시 남동구 만수동 1082번지 창대장터상가,"인천광역시 남동구 인주대로888번길 27, 창대장터상가 1동 b01~b06호 (만수동)",21591,노브랜드인천장승백이시장점,2.0191E+13,I,22:47.0,구분없음,176533.985,438341.6419,준대규모점포
21,대규모점포,08_25_01_P,3740000,2.02237E+18,20220222,,1,영업/정상,5,영업개시전,,,,,02-2015-8524,5926.48,,경기도 수원시 권선구 서둔동 296-124,경기도 수원시 권선구 세화로134번길 31(서둔동),16621,홈씨씨 수원점,2.02203E+13,U,40:00.0,전문점,199671.7435,418257.5959,대규모점포
22,대규모점포,08_25_01_P,4600000,2.02246E+18,20220217,,1,영업/정상,5,영업개시전,,,,,,1314.88,,충청남도 홍성군 홍성읍 옥암리 1064,충청남도 홍성군 홍성읍 내포로 125,32247,이마트에브리데이 홍성중앙점,2.02202E+13,I,22:37.0,그 밖의 대규모점포,169184.7037,343846.1328,준대규모점포
23,대규모점포,08_25_01_P,5670000,2.02257E+18,20220406,,1,영업/정상,5,영업개시전,,,,,-,1219.7,,경상남도 창원시 진해구 경화동 1174-3 외 4필지,,,탑마트 진해경화점,2.02204E+13,I,22:34.0,그 밖의 대규모점포,353185.8025,185135.7813,준대규모점포
24,대규모점포,08_25_01_P,3120000,2.02231E+18,20220405,,1,영업/정상,5,영업개시전,,,,,02-380-5042,998.27,,서울특별시 서대문구 남가좌동 50-3 명지대학교,"서울특별시 서대문구 거북골로 34, 명지대학교 (남가좌동)",3674,이마트에브리데이 명지대점,2.02204E+13,I,22:34.0,구분없음,193139.5239,453106.0026,준대규모점포
25,대규모점포,08_25_01_P,3160000,2.02232E+18,20220318,,1,영업/정상,5,영업개시전,,,,,02-528-0450,40883.22,,서울특별시 구로구 고척동 100-7,,,고척아이파크쇼핑센터,2.02203E+13,I,22:35.0,쇼핑센터,,,대규모점포
26,대규모점포,08_25_01_P,5090000,2.01251E+18,20120521,,1,영업/정상,5,영업개시전,,,,,054-636-9550,492.94,750010,경상북도 영주시 영주동 549번지 4호,경상북도 영주시 구성로 350 (영주동),,영주농협하나로마트중앙점,2.02206E+13,U,40:00.0,구분없음,344754.4354,370337.9105,준대규모점포
27,대규모점포,08_25_01_P,3530000,2.00735E+18,20070321,,1,영업/정상,5,영업개시전,,,,,032 450 3903,35636,,인천광역시 남동구 구월동 1455호,인천광역시 남동구 예술로 148 (구월동),405792,엘리오스구월,2.02111E+13,U,40:00.0,쇼핑센터,173523.275,438366.0294,대규모점포
28,대규모점포,08_25_01_P,3940000,2.01639E+18,20160425,,1,영업/정상,5,영업개시전,,,,,070-7896-7801,129225,,경기도 고양시 덕양구 동산동 370번지,"370, 동산동동",412090,스타필드 고양,2.02002E+13,U,40:00.0,복합쇼핑몰,190715.6543,560834.9079,대규모점포
29,대규모점포,08_25_01_P,3940000,2.01639E+18,20160826,,1,영업/정상,5,영업개시전,,,,,02-3438-9480,42599.44,,경기도 고양시 일산동구 백석동 1237번지,"경기도 고양시 일산동구 강송로 33 (백석동, 일산요진와이시티)",10450,일산 벨라씨타(Bella Citta),2.02002E+13,U,40:00.0,쇼핑센터,181637.1892,460029.0134,대규모점포
30,대규모점포,08_25_01_P,3940000,2.01739E+18,20170825,,1,영업/정상,5,영업개시전,,,,,,16505.82,,경기도 고양시 일산서구 대화동 1050번지 185호,경기도 고양시 일산서구 주엽로 80 (대화동),10391,고양 일산 호수공원 가로수길,2.01708E+13,I,59:59.0,그 밖의 대규모점포,178443.7729,462653.9926,대규모점포
31,대규모점포,08_25_01_P,3780000,2.01638E+18,20160321,,1,영업/정상,5,영업개시전,,,,,02-380-9396,3692,,경기도 성남시 분당구 백현동 531번지,"경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지)",13530,일렉트로마트 판교점,2.02007E+13,U,40:00.0,전문점,209511.3039,432604.403,대규모점포
32,대규모점포,08_25_01_P,5690000,2.02057E+18,20200204,,1,영업/정상,5,영업개시전,,,,,044-860-8500,13324.75,,세종특별자치시 어진동 510번지 엠브릿지,"세종특별자치시 도움3로 19, 외 1필지 엠브릿지 (어진동)",30116,엠브릿지,2.02002E+13,U,40:00.0,그 밖의 대규모점포,223042.6263,333554.4079,대규모점포
33,대규모점포,08_25_01_P,3670000,2.02037E+18,20200128,,1,영업/정상,5,영업개시전,,,,,042-488-3883,50715.2,,대전광역시 유성구 봉명동 549번지 11호,,,프리미엄아울렛 골든하이,2.02104E+13,U,40:00.0,복합쇼핑몰,230806.1836,317041.8549,대규모점포
34,대규모점포,08_25_01_P,5540000,2.01255E+18,20120413,,1,영업/정상,5,영업개시전,,,,,031-797-6514,5942.38,464040,"경기도 광주시 삼동 443번지 외 3필지(440,441,442-1)",경기도 광주시 순암로 535 (삼동),464040,TOP PRICE WHOLESALE,2.0161E+13,I,59:59.0,대형마트,217232.5306,434341.4755,대규모점포
35,대규모점포,08_25_01_P,3130000,2.01831E+18,20180813,,1,영업/정상,5,영업개시전,,,,,02-2179-5021,9747.1,,서울특별시 마포구 동교동 190번지 1호,서울특별시 마포구 와우산로35길 50-4 (동교동),4052,홍대복합역사 상업시설,2.01808E+13,I,59:59.0,쇼핑센터,193565.9004,450545.6685,대규모점포
36,대규모점포,08_25_01_P,5530000,2.01755E+18,20171213,,1,영업/정상,5,영업개시전,,,,,031-378-5331,34780,,경기도 화성시 동탄면 방교리 779번지 3호,"경기도 화성시 동탄면 동탄기흥로257번가길 19, 201호",18487,라스플로레스,2.01712E+13,I,23:26.0,복합쇼핑몰,208124.2943,408882.9596,대규모점포
37,대규모점포,08_25_01_P,5530000,2.01955E+18,20191111,,1,영업/정상,5,영업개시전,,,,,1588-9707,24653.29,,경기도 화성시 송동 681번지 535호,,,레이크꼬모,2.01911E+13,I,23:26.0,그 밖의 대규모점포,209242.7536,407734.8036,대규모점포
38,대규모점포,08_25_01_P,5530000,2.01755E+18,20170417,,1,영업/정상,5,영업개시전,,,,,02-3011-2762,27586,,경기도 화성시 청계동 535번지 6호,경기도 화성시 동탄대로시범길 148-22 (청계동),18476,카림애비뉴,2.01704E+13,I,23:26.0,그 밖의 대규모점포,210128.2136,410963.2271,대규모점포
39,대규모점포,08_25_01_P,4200000,2.02042E+18,20200408,,1,영업/정상,5,영업개시전,,,,,02-380-9461,261.84,,강원도 강릉시 주문진읍 주문리 312번지 91호 주문진수산시장,"강원도 강릉시 주문진읍 시장길 38, 주문진수산시장 1층",25413,노브랜드 주문진수산시장점,2.02004E+13,I,23:22.0,그 밖의 대규모점포,360718.2339,489191.3264,준대규모점포
40,대규모점포,08_25_01_P,3140000,2.02031E+18,20200529,,1,영업/정상,5,영업개시전,,,,,226433209,2734.89,,서울특별시 양천구 목동 966번지 목동에버하임,"서울특별시 양천구 목동중앙북로 68 (목동, 목동에버하임)",7948,목동에버하임,2.02005E+13,I,23:29.0,그 밖의 대규모점포,,,대규모점포
41,대규모점포,08_25_01_P,4010000,2.0204E+18,20200617,,1,영업/정상,5,영업개시전,,,,,,27134.94,,경기도 시흥시 능곡동 235-1 시흥 플랑드르,"경기도 시흥시 장현능곡로 155, 시흥 플랑드르 (능곡동)",14999,시흥플랑드르,2.0211E+13,U,40:00.0,그 밖의 대규모점포,182831.6558,429921.5418,대규모점포
42,대규모점포,08_25_01_P,4050000,2.02241E+18,20220325,,1,영업/정상,5,영업개시전,,,,,,4099.6,,경기도 용인시 처인구 양지면 양지리 112,경기도 용인시 처인구 양지면 죽양대로 2309,17158,세영산업주식회사,2.02203E+13,I,22:35.0,전문점,226267.4198,414698.9398,대규모점포
43,대규모점포,08_25_01_P,4640000,2.02146E+18,20211129,,1,영업/정상,5,영업개시전,,,,,063-271-7001,23194.32,,전라북도 전주시 덕진구 송천동2가 488-3,전라북도 전주시 덕진구 송천중앙로 225(송천동2가),54827,파인트리몰,2.02112E+13,I,22:43.0,그 밖의 대규모점포,210848.0828,263026.5728,대규모점포
44,대규모점포,08_25_01_P,5130000,2.02151E+18,20211025,,1,영업/정상,5,영업개시전,,,,,02-380-5930,662.15,,경상북도 경산시 하양읍 양지리 262,경상북도 경산시 하양읍 서사도리4로 8,38699,(주)이마트에브리데이 경산무학점,2.02112E+13,U,40:00.0,대형마트,,,준대규모점포
45,대규모점포,08_25_01_P,5540000,2.02155E+18,20211103,,1,영업/정상,5,영업개시전,,,,,031-767-8324,11697.53,,경기도 광주시 경안동 447,경기도 광주시 경안로41번길 6(경안동),12760,광주 금호 리첸시아 센트럴 스퀘어,2.02112E+13,U,40:00.0,그 밖의 대규모점포,222648,434107,대규모점포
46,대규모점포,08_25_01_P,3060000,2.02131E+18,20211125,,1,영업/정상,5,영업개시전,,,,,02-2290-5704,1150.47,,서울특별시 중랑구 신내동 646 금강리빙스텔,"서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)",2024,롯데프레시앤델리 봉화산역점,2.02111E+13,I,22:44.0,구분없음,208112.8602,457113.6384,준대규모점포
47,대규모점포,08_25_01_P,3260000,2.01833E+18,20180911,,1,영업/정상,5,영업개시전,,,,,051-241-3006,5025.59,,부산광역시 서구 토성동1가 25번지 1호 경동 리인,"부산광역시 서구 보수대로 27 (토성동1가, 경동 리인)",49247,경동타워 쇼핑,2.02201E+13,U,40:00.0,그 밖의 대규모점포,384479.1625,179674.8329,대규모점포
48,대규모점포,08_25_01_P,3230000,2.02032E+18,20200724,,1,영업/정상,5,영업개시전,,,,20200820,,182,,서울특별시 송파구 가락동 191-5,서울특별시 송파구 동남로20길 24 (가락동),5783,롯데프레시송파가락가맹점,2.02009E+13,U,40:00.0,구분없음,211822.1007,443697.7397,준대규모점포
49,대규모점포,08_25_01_P,3510500,2.02035E+18,20200825,,1,영업/정상,5,영업개시전,,,,,032-866-0611,20973.16,,인천광역시 미추홀구 도화동 1002 더샵 인천스카이타워 2단지,"인천광역시 미추홀구 숙골로87번길 5 (도화동, 더샵 인천스카이타워 2단지)",22101,앨리웨이 인천,2.02104E+13,U,40:00.0,그 밖의 대규모점포,,,대규모점포
50,대규모점포,08_25_01_P,3530000,2.02035E+18,20200722,,1,영업/정상,5,영업개시전,,,,,032-446-7536,3706,,인천광역시 남동구 논현동 111-168 쌍둥이네,인천광역시 남동구 장도로 86-14 (논현동),21672,소래포구어시장,2.02007E+13,I,23:15.0,그 밖의 대규모점포,176842.1891,432901.2566,대규모점포
51,대규모점포,08_25_01_P,4640000,2.02146E+18,20210719,,1,영업/정상,5,영업개시전,,,,,063-253-1115,34776.8,,전라북도 전주시 덕진구 송천동2가 1329-1 로마네시티,"전라북도 전주시 덕진구 세병2길 10, 로마네시티 (송천동2가)",55149,로마네시티,2.02107E+13,I,22:53.0,그 밖의 대규모점포,,,대규모점포
52,대규모점포,08_25_01_P,3830000,2.02138E+18,20210929,,1,영업/정상,5,영업개시전,,,,,02-2006-2364,296.15,,경기도 안양시 동안구 호계동 873 덕유파크,"경기도 안양시 동안구 경수대로 428, 덕유파크 1층 101~106, 126호 (호계동)",14126,GS THE FRESH 안양호계점,2.02109E+13,I,22:48.0,구분없음,196609.7503,428912.3067,준대규모점포
53,대규모점포,08_25_01_P,3120000,2.02131E+18,20210716,,1,영업/정상,5,영업개시전,,,,,02-373-9993,216.08,,서울특별시 서대문구 남가좌동 390 래미안 루센티아,"서울특별시 서대문구 거북골로 100, 지하3층 32,33,34,35호 (남가좌동, 래미안 루센티아)",3689,GS THE FRESH 남가좌디엠씨점,2.02107E+13,I,23:01.0,구분없음,192728.9387,452585.5416,준대규모점포
54,대규모점포,08_25_01_P,3120000,2.02131E+18,20210729,,1,영업/정상,5,영업개시전,,,,,02-380-5042,483.79,,서울특별시 서대문구 홍은동 11-419,서울특별시 서대문구 홍은중앙로 89(홍은동),3604,이마트에브리데이 홍은점,2.02107E+13,I,22:51.0,구분없음,195280.7102,455193.0147,준대규모점포
55,대규모점포,08_25_01_P,3740000,2.02137E+18,20210913,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,189.2,,경기도 수원시 장안구 정자동 111-20 화서역 파크푸르지오,"경기도 수원시 장안구 대평로 27, 107~109호 (정자동, 화서역 파크푸르지오)",16318,GS THE FRESH 수원화서점,2.02109E+13,I,22:48.0,구분없음,,,준대규모점포
56,대규모점포,08_25_01_P,3740000,2.02137E+18,20210525,,1,영업/정상,5,영업개시전,,,,,02-3404-4921,5855.48,,경기도 수원시 장안구 정자동 111-20,,,화서역 파크 푸르지오,2.02105E+13,I,22:55.0,그 밖의 대규모점포,,,대규모점포
57,대규모점포,08_25_01_P,3940000,2.02139E+18,20210702,,1,영업/정상,5,영업개시전,,,,,031-901-6611,15789,,경기도 고양시 덕양구 삼송동 293,"경기도 고양시 덕양구 삼송로 222, 고양삼송현대헤리엇 (삼송동)",10592,고양삼송현대헤리엇,2.02107E+13,I,22:53.0,그 밖의 대규모점포,,,대규모점포
58,대규모점포,08_25_01_P,5670000,2.01657E+18,20160906,,1,영업/정상,5,영업개시전,,,,,055-266-8005,6365.43,,경상남도 창원시 의창구 서상동 666번지 5호,경상남도 창원시 의창구 평산로207번길 4 (서상동),51370,킹덤시티,2.01804E+13,I,23:01.0,그 밖의 대규모점포,347886.7194,196863.1141,대규모점포
59,대규모점포,08_25_01_P,5670000,2.02057E+18,20200302,,1,영업/정상,5,영업개시전,,,,,051-510-4646,208.25,,경상남도 창원시 의창구 중동 785번지 창원중동유니시티2단지,"경상남도 창원시 의창구 중동로 33, 105~109호 (중동, 창원중동유니시티2단지)",51382,(주)지에스리테일 창원유니시티점,2.02003E+13,I,23:01.0,대형마트,,,준대규모점포
60,대규모점포,08_25_01_P,4080000,2.01741E+18,20171113,,1,영업/정상,5,영업개시전,,,,,02-520-9557,7987.27,,경기도 안성시 원곡면 지문리 33번지 1호,경기도 안성시 원곡면 만세로 1260,17553,주식회사 락앤락,2.01711E+13,I,59:59.0,그 밖의 대규모점포,212654,393502,대규모점포
61,대규모점포,08_25_01_P,4680000,2.00047E+18,19970219,,1,영업/정상,5,영업개시전,,,,,063 8407000,58,,전라북도 익산시 창인동1가 152번지 24호,전라북도 익산시 중앙로5길 17-4 (창인동1가),54593,익산송원백화점,2.01603E+13,I,59:59.0,백화점,195563.8773,271479.9179,준대규모점포
62,대규모점포,08_25_01_P,3520000,2.02035E+18,20201028,,1,영업/정상,5,영업개시전,,,,,032-260-0700,16105.88,,인천광역시 연수구 송도동 93,인천광역시 연수구 컨벤시아대로 204 (송도동),22004,인천 스타트업파크,2.02101E+13,U,40:00.0,그 밖의 대규모점포,168034.0647,431810.0294,대규모점포
63,대규모점포,08_25_01_P,4640000,2.02146E+18,20210303,,1,영업/정상,5,영업개시전,,,,,,18192.9,,전라북도 전주시 덕진구 송천동2가 1329-2 전주 에코시티 이마트,"전라북도 전주시 덕진구 세병서로 9, 전주 에코시티 이마트 (송천동2가)",55149,전주에코시티 DK-mall,2.0211E+13,U,40:00.0,쇼핑센터,,,대규모점포
64,대규모점포,08_25_01_P,3900000,2.02139E+18,20210305,,1,영업/정상,5,영업개시전,,,,,031-780-8436,28985.96,,경기도 광명시 일직동 512-3,,,광명역세권택지개발지구복합단지판매시설D멀티플렉스AK PLAZA,2.02103E+13,I,23:00.0,쇼핑센터,,,
65,대규모점포,08_25_01_P,5530000,2.02155E+18,20210225,,1,영업/정상,5,영업개시전,,,,,02-380-9429,14828.36,,경기도 화성시 오산동 1022,,,이마트 트레이더스 동탄점,2.02102E+13,I,23:00.0,대형마트,,,대규모점포
66,대규모점포,08_25_01_P,4490000,2.02145E+18,20210210,,1,영업/정상,5,영업개시전,,,,,070-4060-4128,8226,,충청남도 천안시 서북구 쌍용동 1367,충청남도 천안시 서북구 월봉로 95 (쌍용동),31171,맘마마트 천안점,2.02102E+13,I,23:02.0,대형마트,210350.366,366539.8324,대규모점포
67,대규모점포,08_25_01_P,3460000,2.02135E+18,20210316,,1,영업/정상,5,영업개시전,,,,,053-751-8171,16113.81,,대구광역시 수성구 범어동 2262,대구광역시 수성구 범어천로 214 (범어동),42009,범어더리브스퀘어,2.02103E+13,I,22:59.0,그 밖의 대규모점포,,,대규모점포
68,대규모점포,08_25_01_P,5350000,2.02154E+18,20210414,,1,영업/정상,5,영업개시전,,,,,226302671,13218.95,,경상남도 김해시 주촌면 천곡리 1522,,,코스트코 홀세일 김해점,2.02104E+13,U,40:00.0,대형마트,,,대규모점포
69,대규모점포,08_25_01_P,3220000,2.02132E+18,20210319,,1,영업/정상,5,영업개시전,,,,,-,7511.51,,서울특별시 강남구 역삼동 676 센터필드,"서울특별시 강남구 테헤란로 231, 센터필드 (역삼동)",6142,더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),2.02103E+13,U,40:00.0,그 밖의 대규모점포,203599.0628,444556.0623,대규모점포
70,대규모점포,08_25_01_P,5350000,2.02154E+18,20210416,,1,영업/정상,5,영업개시전,,,,,226302671,13218.95,,경상남도 김해시 주촌면 주촌선천지구 도시개발구역 30B 8L,,,코스트코 홀세일 김해점,2.02104E+13,I,22:58.0,대형마트,,,대규모점포
71,대규모점포,08_25_01_P,3980000,2.0214E+18,20210416,,1,영업/정상,5,영업개시전,,,,,02-6299-7131,0,,경기도 구리시 인창동 430 구리유통종합상가,"경기도 구리시 동구릉로136번길 57, 구리유통종합상가 (인창동)",11915,엘마트 구리점,2.02106E+13,U,40:00.0,대형마트,212369.7862,456717.1326,대규모점포
72,대규모점포,08_25_01_P,5690000,2.01857E+18,20180706,,1,영업/정상,5,영업개시전,,,,,,11320.61,,세종특별자치시 어진동 521번지 외 1필지,,,KT&G Mall 세종B관,2.01807E+13,I,59:59.0,그 밖의 대규모점포,222931.3189,333304.1163,대규모점포
73,대규모점포,08_25_01_P,3240000,2.01432E+18,19961212,,1,영업/정상,5,영업개시전,,,,,02-477-1223,10180.74,134871,서울특별시 강동구 천호동 410번지 100호,서울특별시 강동구 진황도로 12 (천호동),134871,천호코오롱상가,2.02201E+13,U,40:00.0,그 밖의 대규모점포,211279.0302,448548.8197,대규모점포
74,대규모점포,08_25_01_P,3740000,2.02237E+18,20220718,,1,영업/정상,5,영업개시전,,,,,031-0000-0000,243.3,,경기도 수원시 팔달구 매산로3가 108-78,경기도 수원시 팔달구 갓매산로 2(매산로3가),16460,GS THE FRESH 수원팔달점,2.02207E+13,I,22:28.0,구분없음,200658.1053,418222.5213,준대규모점포
75,대규모점포,08_25_01_P,3050000,2.02231E+18,20220711,,1,영업/정상,5,영업개시전,,,,,02-721-8286,22467.67,,서울특별시 동대문구 용두동 39-1,,,청량리역 한양수자인 그라시엘 판매시설,2.02207E+13,I,22:29.0,그 밖의 대규모점포,203728.1321,452778.8933,대규모점포
76,대규모점포,08_25_01_P,3000000,2.0223E+18,20220628,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,297,,서울특별시 종로구 무악동 82 무악현대아파트,"서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)",3025,GS THE FRESH 무악현대점,2.02206E+13,I,22:30.0,대형마트,196467.9751,452566.134,준대규모점포
77,대규모점포,08_25_01_P,3310000,2.02233E+18,20220630,,1,영업/정상,5,영업개시전,,,,,02-2006-2364,327.93,,부산광역시 남구 대연동 52-8 1층,"부산광역시 남구 수영로322번길 33, 1층 (대연동)",48512,GS THE FRESH 부산대연점,2.02206E+13,I,22:30.0,그 밖의 대규모점포,391533.2528,183948.442,준대규모점포
78,대규모점포,08_25_01_P,3190000,2.02232E+18,20220722,,1,영업/정상,5,영업개시전,,,,,02-792-0653,8995.84,,서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩,"서울특별시 동작구 노들로2길 7, 노량진 드림스퀘어 복합빌딩 (노량진동)",6900,노량진 드림스퀘어,2.02207E+13,I,22:29.0,그 밖의 대규모점포,194571.1524,445790.5499,대규모점포
79,대규모점포,08_25_01_P,5060000,2.02251E+18,20220712,,1,영업/정상,5,영업개시전,,,,,054-420-2300,772.72,,경상북도 김천시 부곡동 874-12,경상북도 김천시 부곡길 91(부곡동),39629,김천농협 로컬푸드복합문화센터,2.02207E+13,I,22:29.0,그 밖의 대규모점포,,,준대규모점포
